Planejamento de Aulas,,
Diário,129262,
Número de Aulas,Horário Início,Horário de Término
2,21:20,22:40
Bimestre,3BIM,
11/09/2018,Libreoffice Writer: Interface; Localizar e Substituir; Ortografia e Gramática; Teclas de Atalhos; Formatação; Parágrafos; Alinhamento; Caracteres não imprimíveis; Exercícios;,
18/09/2018,"Trabalho (2,0 pontos);",
25/09/2018,Libreoffice Writer: Cabeçalho e Rodapé; Marcadores; Numeração; Paginação; Exercícios;,
02/10/2018,"Trabalho (2,0 pontos);",
09/10/2018,Libreoffice Writer: Figuras; Quadros; Tabelas; Legenda; Referências Cruzadas; Exercícios;,
16/10/2018,CONEPE 2018,
23/10/2018,"Prova (3,0 pontos);",
30/10/2018,Libreoffice Writer: Estilos; Sumário; Sumário de Ilustrações; Quebra de Página; Exercícios;,
06/11/2018,"Prova (3,0 pontos);",
13/11/2018,Prova de 2ª chamada;,
Bimestre,4BIM,
27/11/2018,Libreoffice Calc: Interface; Formatação de Células; Gráficos; Exercícios;,
04/12/2018,Libreoffice Calc: Classificação; Fórmulas; Planilhas Dinâmicas; Exercícios;,
11/12/2018,"Trabalho (4,0 pontos);",
18/12/2018,Libreoffice Calc: Funções: Soma; Mult; Média; Mínimo; Máximo; Hoje; Agora; Exercícios;,
22/01/2019,"Prova (3,0 pontos);",
29/01/2019,Libreoffice Calc: Funções: Se; Somase; Cont;se; Exercícios;,
05/02/2019,"Prova (3,0 pontos);",
12/02/2019,Prova de 2ª chamada;,
19/02/2019,"Prova de recuperação semestral 2 (10,0 pontos);",
26/02/2019,"Prova de recuperação final (10,0 Pontos)",
